Products_Name,Pricing,Rattings
Apple iPhone SE (White | 64 GB),Rs 34999,4.6
Apple iPhone SE (Black | 64 GB),Rs 34999,4.6
Apple iPhone XR (White | 64 GB),Rs 44999,4.6
Apple iPhone XR (Black | 64 GB),Rs 44999,4.6
Apple iPhone SE (Red | 64 GB),Rs 34999,4.6
Apple iPhone SE (Black | 128 GB),Rs 39999,4.6
Apple iPhone XR ((PRODUCT)RED | 64 GB),Rs 44999,4.6
Apple iPhone SE (White | 128 GB),Rs 39999,4.6
Apple iPhone XR (Black | 128 GB),Rs 49999,4.6
Apple iPhone XR (White | 128 GB),Rs 49999,4.6
Apple iPhone SE (Red | 128 GB),Rs 39999,4.6
Apple iPhone XR (Blue | 64 GB),Rs 44999,4.6
Apple iPhone XR (Coral | 64 GB),Rs 44999,4.6
Apple iPhone 11 Pro (Space Grey | 64 GB),Rs 79999,4.7
Apple iPhone XR ((PRODUCT)RED | 128 GB),Rs 49999,4.6
Apple iPhone XR (Blue | 128 GB),Rs 49999,4.6
Apple iPhone XR (Coral | 128 GB),Rs 49999,4.6
Apple iPhone XR (Yellow | 64 GB),Rs 44999,4.6
Apple iPhone SE (Black | 256 GB),Rs 49999,4.6
Apple iPhone SE (White | 256 GB),Rs 49999,4.6
Apple iPhone XR (Yellow | 128 GB),Rs 49999,4.6
Apple iPhone 11 Pro (Midnight Green | 256 GB),Rs 92999,4.7
Apple iPhone SE (Red | 256 GB),Rs 49999,4.6
Apple iPhone 11 Pro (Midnight Green | 512 GB),Rs 109999,4.7
